Nozawa-onsen,   0.576,  22.3,   36.923, 138.441 
Iiyama,         0.313,  23.3,   36.852, 138.366
Nagano,         0.4182, 23.8,   36.649, 138.195
Oomachi,        0.784,  21.1,   36.503, 137.851
Sugadaira,      1.253,  18.5,   36.540, 138.322
Karuizawa,      0.9991, 19.5,   36.347, 138.593
Matsumoto,      0.610,  23.6,   36.238, 137.972
Nagawa,         1.068,  19.7,   36.072, 137.675
Suwa,           0.760,  22.7,   36.039, 138.114
Nobeyama,       1.350,  18.4,   35.949, 138.467
Ina,            0.633,  22.7,   35.827, 137.954
Nagiso,         0.560,  22.3,   35.599, 137.609
Iida,           0.5164, 23.9,   35.515, 137.822
Minami-shinano, 0.407,  23.5,   35.313, 137.930
